CLAIMANT_ID,CLAIMANT_NAME,CLAIMANT_TYPE,BUSINESS_NAME,INDUSTRY,CONTACT_EMAIL,CONTACT_PHONE,ADDRESS_STATE,ADDRESS_CITY,DATE_OF_BIRTH,CREATED_AT
CLM-000000,Claimant_0,Business,Business_0,Construction,claimant_0@email.com,555-698-3287,KY,Nashville,1963-07-19,2025-08-15 02:27:05
CLM-000001,Claimant_1,Individual,,Agriculture,claimant_1@email.com,555-526-8611,TN,Columbus,1966-03-31,2025-01-17 11:04:05
CLM-000002,Claimant_2,Individual,,Technology,claimant_2@email.com,555-641-2214,TN,Pittsburgh,2003-10-13,2025-04-25 08:47:05
CLM-000003,Claimant_3,Third Party,,Restaurant,claimant_3@email.com,555-852-6511,WV,Pittsburgh,1978-05-06,2025-03-10 15:02:05
CLM-000004,Claimant_4,Business,Business_4,Retail,claimant_4@email.com,555-382-2637,SC,Indianapolis,1964-09-17,2025-10-12 23:20:05
CLM-000005,Claimant_5,Third Party,,Manufacturing,claimant_5@email.com,555-420-2088,IL,Richmond,1968-11-06,2026-03-24 03:41:05
CLM-000006,Claimant_6,Business,Business_6,Construction,claimant_6@email.com,555-935-1210,IN,Atlanta,1969-05-04,2026-04-05 17:42:05
CLM-000007,Claimant_7,Third Party,,Restaurant,claimant_7@email.com,555-219-7318,TN,Charleston,1972-02-08,2025-06-04 16:35:05
CLM-000008,Claimant_8,Business,Business_8,Technology,claimant_8@email.com,555-214-7962,VA,Louisville,2001-09-29,2026-02-23 13:52:05
CLM-000009,Claimant_9,Individual,,Retail,claimant_9@email.com,555-367-3586,WV,Richmond,1975-03-06,2025-12-24 03:59:05
CLM-000010,Claimant_10,Third Party,,Retail,claimant_10@email.com,555-375-7604,OH,Baltimore,1997-06-23,2025-06-08 11:45:05
CLM-000011,Claimant_11,Business,Business_11,Restaurant,claimant_11@email.com,555-323-9453,OH,Louisville,1965-04-22,2025-07-12 12:57:05
CLM-000012,Claimant_12,Third Party,,Retail,claimant_12@email.com,555-916-4831,VA,Charleston,1986-08-10,2026-01-08 03:43:05
CLM-000013,Claimant_13,Individual,,Manufacturing,claimant_13@email.com,555-694-4297,NC,Indianapolis,1958-03-29,2025-03-28 11:28:05
CLM-000014,Claimant_14,Individual,,Manufacturing,claimant_14@email.com,555-224-9792,KY,Charlotte,1975-09-11,2025-04-23 12:39:05
CLM-000015,Claimant_15,Individual,,Transportation,claimant_15@email.com,555-263-7965,WV,Louisville,1961-12-21,2025-05-12 23:01:05
CLM-000016,Claimant_16,Third Party,,Healthcare,claimant_16@email.com,555-858-6042,NC,Charleston,1957-05-25,2025-06-02 16:04:05
CLM-000017,Claimant_17,Business,Business_17,Transportation,claimant_17@email.com,555-486-7145,GA,Richmond,1999-09-27,2025-01-29 21:09:05
CLM-000018,Claimant_18,Individual,,Retail,claimant_18@email.com,555-193-4466,NC,Baltimore,1985-05-26,2026-03-24 12:02:05
CLM-000019,Claimant_19,Third Party,,Construction,claimant_19@email.com,555-899-9135,TN,Richmond,1979-10-24,2025-07-28 18:01:05
CLM-000020,Claimant_20,Business,Business_20,Healthcare,claimant_20@email.com,555-411-4071,IN,Richmond,1990-03-29,2025-05-26 02:24:05
CLM-000021,Claimant_21,Business,Business_21,Construction,claimant_21@email.com,555-541-8673,MD,Richmond,1980-09-16,2025-03-16 07:26:05
CLM-000022,Claimant_22,Individual,,Transportation,claimant_22@email.com,555-800-6581,MD,Richmond,1996-12-19,2026-05-03 20:52:05
CLM-000023,Claimant_23,Individual,,Healthcare,claimant_23@email.com,555-887-7644,OH,Charlotte,1975-09-25,2025-03-14 21:07:05
CLM-000024,Claimant_24,Individual,,Retail,claimant_24@email.com,555-355-4644,GA,Charleston,1989-09-23,2025-07-09 12:44:05
CLM-000025,Claimant_25,Third Party,,Construction,claimant_25@email.com,555-832-5592,PA,Charleston,1980-08-27,2025-07-03 02:56:05
CLM-000026,Claimant_26,Third Party,,Transportation,claimant_26@email.com,555-491-4591,NC,Richmond,1963-09-11,2025-07-03 10:35:05
CLM-000027,Claimant_27,Individual,,Technology,claimant_27@email.com,555-765-2269,WV,Indianapolis,1984-08-05,2025-10-27 16:21:05
CLM-000028,Claimant_28,Individual,,Retail,claimant_28@email.com,555-603-9844,NC,Pittsburgh,1986-11-22,2025-12-22 12:31:05
CLM-000029,Claimant_29,Third Party,,Agriculture,claimant_29@email.com,555-254-8647,SC,Baltimore,1976-12-24,2025-07-09 16:16:05
CLM-000030,Claimant_30,Individual,,Agriculture,claimant_30@email.com,555-329-7266,VA,Nashville,1994-05-21,2025-04-13 23:47:05
CLM-000031,Claimant_31,Individual,,Retail,claimant_31@email.com,555-323-8412,NC,Atlanta,1957-07-21,2025-11-20 03:53:05
CLM-000032,Claimant_32,Individual,,Construction,claimant_32@email.com,555-465-4760,PA,Charleston,1988-05-14,2025-11-04 11:09:05
CLM-000033,Claimant_33,Business,Business_33,Technology,claimant_33@email.com,555-887-1452,SC,Indianapolis,1999-04-02,2026-01-18 00:53:05
CLM-000034,Claimant_34,Individual,,Restaurant,claimant_34@email.com,555-958-1334,WV,Indianapolis,1987-02-16,2025-11-29 17:53:05
CLM-000035,Claimant_35,Business,Business_35,Restaurant,claimant_35@email.com,555-993-1854,WV,Nashville,1985-11-01,2025-06-20 07:33:05
CLM-000036,Claimant_36,Business,Business_36,Agriculture,claimant_36@email.com,555-923-1491,GA,Charlotte,1979-04-29,2026-02-24 19:37:05
CLM-000037,Claimant_37,Third Party,,Manufacturing,claimant_37@email.com,555-241-9386,WV,Atlanta,1963-03-19,2026-04-09 20:41:05
CLM-000038,Claimant_38,Individual,,Manufacturing,claimant_38@email.com,555-310-2501,NC,Louisville,1984-02-23,2025-07-12 14:19:05
CLM-000039,Claimant_39,Individual,,Retail,claimant_39@email.com,555-885-3834,IN,Charlotte,2000-05-21,2026-02-04 00:29:05
CLM-000040,Claimant_40,Third Party,,Restaurant,claimant_40@email.com,555-301-4061,OH,Atlanta,1959-11-03,2025-08-31 12:38:05
CLM-000041,Claimant_41,Business,Business_41,Transportation,claimant_41@email.com,555-605-1883,NC,Nashville,2005-12-24,2025-11-29 21:01:05
CLM-000042,Claimant_42,Business,Business_42,Technology,claimant_42@email.com,555-814-3863,TN,Richmond,1961-10-11,2025-12-07 23:18:05
CLM-000043,Claimant_43,Individual,,Manufacturing,claimant_43@email.com,555-854-1827,NC,Pittsburgh,1999-07-01,2026-01-22 00:37:05
CLM-000044,Claimant_44,Business,Business_44,Agriculture,claimant_44@email.com,555-438-5973,OH,Louisville,1989-02-09,2026-04-13 01:44:05
CLM-000045,Claimant_45,Individual,,Technology,claimant_45@email.com,555-573-5456,MD,Louisville,1986-08-17,2025-10-31 04:14:05
CLM-000046,Claimant_46,Individual,,Transportation,claimant_46@email.com,555-757-4869,PA,Richmond,1997-02-18,2025-08-27 20:50:05
CLM-000047,Claimant_47,Individual,,Healthcare,claimant_47@email.com,555-123-3416,KY,Charlotte,1967-04-02,2025-02-11 00:37:05
CLM-000048,Claimant_48,Third Party,,Healthcare,claimant_48@email.com,555-196-9183,SC,Pittsburgh,1983-04-27,2026-01-22 03:18:05
CLM-000049,Claimant_49,Business,Business_49,Manufacturing,claimant_49@email.com,555-592-4375,OH,Richmond,1996-02-04,2025-02-17 07:47:05
CLM-000050,Claimant_50,Third Party,,Restaurant,claimant_50@email.com,555-703-2892,IN,Atlanta,1971-09-28,2026-04-11 04:42:05
CLM-000051,Claimant_51,Third Party,,Healthcare,claimant_51@email.com,555-314-3758,TN,Baltimore,1988-03-05,2025-02-10 19:30:05
CLM-000052,Claimant_52,Third Party,,Healthcare,claimant_52@email.com,555-144-1817,NC,Charlotte,1974-06-30,2025-04-04 14:47:05
CLM-000053,Claimant_53,Business,Business_53,Technology,claimant_53@email.com,555-778-8780,WV,Charleston,1980-04-14,2026-02-04 03:06:05
CLM-000054,Claimant_54,Individual,,Construction,claimant_54@email.com,555-364-1886,MD,Indianapolis,1995-05-25,2026-04-04 21:36:05
CLM-000055,Claimant_55,Individual,,Retail,claimant_55@email.com,555-401-6677,VA,Columbus,1970-05-27,2025-11-27 12:49:05
CLM-000056,Claimant_56,Individual,,Agriculture,claimant_56@email.com,555-426-4826,IL,Columbus,1976-04-05,2025-07-04 05:30:05
CLM-000057,Claimant_57,Business,Business_57,Restaurant,claimant_57@email.com,555-133-1793,IL,Columbus,1965-01-30,2026-02-11 09:14:05
CLM-000058,Claimant_58,Third Party,,Manufacturing,claimant_58@email.com,555-125-8732,PA,Columbus,1996-01-23,2025-07-03 15:47:05
CLM-000059,Claimant_59,Business,Business_59,Technology,claimant_59@email.com,555-489-5931,MD,Charleston,1965-08-28,2025-12-02 04:50:05
CLM-000060,Claimant_60,Individual,,Technology,claimant_60@email.com,555-348-7298,NC,Indianapolis,1961-11-03,2026-04-16 04:33:05
CLM-000061,Claimant_61,Third Party,,Transportation,claimant_61@email.com,555-492-6678,WV,Baltimore,2004-07-28,2025-12-24 14:34:05
CLM-000062,Claimant_62,Third Party,,Agriculture,claimant_62@email.com,555-669-3228,OH,Charlotte,1998-11-27,2025-10-07 10:04:05
CLM-000063,Claimant_63,Business,Business_63,Agriculture,claimant_63@email.com,555-636-7875,IL,Richmond,1970-06-02,2025-10-12 19:32:05
CLM-000064,Claimant_64,Individual,,Transportation,claimant_64@email.com,555-220-4104,SC,Richmond,1979-05-24,2025-06-20 12:20:05
CLM-000065,Claimant_65,Business,Business_65,Healthcare,claimant_65@email.com,555-940-8692,NC,Columbus,1964-01-12,2025-09-26 10:41:05
CLM-000066,Claimant_66,Business,Business_66,Construction,claimant_66@email.com,555-276-3904,VA,Nashville,1973-06-29,2025-01-14 00:51:05
CLM-000067,Claimant_67,Business,Business_67,Agriculture,claimant_67@email.com,555-728-8286,KY,Atlanta,1960-02-14,2025-09-27 20:34:05
CLM-000068,Claimant_68,Business,Business_68,Transportation,claimant_68@email.com,555-717-2196,IL,Richmond,1991-08-18,2026-04-27 23:08:05
CLM-000069,Claimant_69,Individual,,Healthcare,claimant_69@email.com,555-600-6261,SC,Louisville,1959-05-03,2025-10-08 08:13:05
CLM-000070,Claimant_70,Third Party,,Agriculture,claimant_70@email.com,555-495-1219,IN,Nashville,1991-02-21,2025-07-08 22:15:05
CLM-000071,Claimant_71,Individual,,Construction,claimant_71@email.com,555-173-9206,VA,Baltimore,1967-04-09,2025-04-16 16:07:05
CLM-000072,Claimant_72,Individual,,Technology,claimant_72@email.com,555-448-9183,NC,Atlanta,1960-02-10,2025-07-11 04:05:05
CLM-000073,Claimant_73,Third Party,,Healthcare,claimant_73@email.com,555-797-4612,TN,Louisville,1966-04-04,2025-05-07 08:21:05
CLM-000074,Claimant_74,Individual,,Retail,claimant_74@email.com,555-638-3819,SC,Indianapolis,2005-10-11,2025-06-18 10:22:05
CLM-000075,Claimant_75,Business,Business_75,Retail,claimant_75@email.com,555-423-4637,GA,Charleston,1973-01-29,2025-03-28 10:47:05
CLM-000076,Claimant_76,Business,Business_76,Technology,claimant_76@email.com,555-901-2322,SC,Charlotte,1977-03-05,2026-05-09 19:40:05
CLM-000077,Claimant_77,Business,Business_77,Manufacturing,claimant_77@email.com,555-279-6522,WV,Columbus,1978-11-29,2025-11-24 06:24:05
CLM-000078,Claimant_78,Business,Business_78,Agriculture,claimant_78@email.com,555-773-5672,SC,Atlanta,1998-10-24,2025-02-27 08:46:05
